Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 1회, 1회 2정을 충분한 물과 함께 섭취하십시오",쁘띠앤칼마디,"[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌

[마그네슘] 1. 에너지 이용에 필요 2. 신경과 근육 기능 유지에 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌",주식회사 노바렉스,알약,,,
"1일 1회, 1회 2정(1정 당 1,000 mg)을 물과 함께 섭취하십시오.",칼슘마그네슘비타민D,"[비타민D]  1. 칼슘과 인이 흡수되고 이용되는데 필요  2. 뼈의 형성과 유지에 필요  3. 골다공증발생 위험 감소에 도움을 줌
[마그네슘]  1. 에너지 이용에 필요  2. 신경과 근육 기능 유지에 필요
[망간]  1. 뼈 형성에 필요  2. 에너지 이용에 필요  3. 유해산소로부터 세포를 보호하는데 필요
[칼슘]  1. 뼈와 치아 형성에 필요  2. 신경과 근육 기능 유지에 필요  3. 정상적인 혈액응고에 필요  4. 골다공증발생 위험 감소에 도움을 줌",(주)한국씨엔에스팜,알약,," 1.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
 2.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",눈건강루테인케어,"노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요",극동에치팜(주),캡슐,,"[루테인 제품] 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다. 임산부, 수유부, 특이체질, 알레르기 체질인 경우 원료를 확인 후 섭취하십시오. 내용물의 손상이나 변형시에는 섭취하지 마십시오.",
"1일 2회, 1회 2캡슐(1 g)을 충분한 물과 함께 섭취하십시오.",VITAMIN-C,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요",(주)서흥,캡슐,," 1.  특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.

 2.  임산부와 수유부는 섭취를 피하는 것이 좋습니다.",
"1일 1회, 1회 1포(10mL)씩 섭취하십시오.",간편홍삼정,[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)휴럼,액상,,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의

-특이체질 및 알레르기 체질의 경우 성분을 확인하신 후 섭취하십시오.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",광동 아이초이스 루테인+아스타잔틴,"[루테인 ]  1. 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌
[헤마토코쿠스추출물]  1. 눈의 피로도 개선에 도움을 줄 수 있음
[비타민 A]  1. 어두운 곳에서 시각 적응을 위해 필요  2. 피부와 점막을 형성하고 기능을 유지하는데 필요  3. 상피세포의 성장과 발달에 필요
[비타민 E]  1. 유해산소로부터 세포를 보호하는데 필요",광동제약주식회사,캡슐,,"과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음

 1. 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음  2. β-카로틴의 흡수를 저해할 수 있음",
"1일 2회, 1회 1포(20g)를 씹어서 섭취하십시오.  1일 1회, 1회 2포(40g)를 씹어서 섭취하십시오.",젤리컷," 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

 1. 배변활동 원활에 도움을 줄 수 있음",코스맥스바이오(주),젤리,,반드시 충분한 물과 함께 섭취할 것(액상제외),
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",코엔자임Q10,"[코엔자임Q10]  1. 항산화·높은 혈압 감소에 도움을 줄 수 있음
[아연]  1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요
[비타민E]  1. 유해산소로부터 세포를 보호하는데 필요
[셀렌]  1. 유해산소로부터 세포를 보호하는데 필요",(주)알피바이오,캡슐,,"유통기한을 확인하시기 바라며, 임산부 , 수유부나 질병으로 치료 중이신 분은 섭취 전 전문가와 상의하십시오. 
특정 성분에 알레르기가 있거나 특이체질이신 분은 섭취에 주의하십시오.",
"1일 3회, 1회 2캡슐 물과 함께 섭취",엘레강스 B,"[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",조아제약(주),캡슐,,특정 성분에 민감한 분은 성분을 확인하고 섭취 하십시오.,
1일 3회 1회에 동봉된 스푼(1스푼 1g정도)을 이용하여 1스푼을 그대로 또는 냉?온수에 타서 섭취한다.,고려6년근홍삼농축액골드, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)대한홍삼진흥공사,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
알러지 등 특이제질의 경우 성분을 확인 후 섭취한다.
어린이의 섭취 시에는 보호자의 관리하에 섭취하시기 바랍니다.",
"1일 1회, 1회 1포를 섭취하십시오.",에버콜라겐 타임, 1.  피부 보습에 도움을 줄 수 있음   2.  자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 /  1.  May help to maintain skin moisturizing  2.  May help to maintain skin health from skin damage by UV radiation,주식회사 노바렉스,분말,,#NAME?,
"1일 1회, 1회 5g를 직접 섭취 하십시오.",판타스틱 홍삼정키즈,[홍삼제품] 1. 면역력 증진 2. 피로개선 3. 혈소판 응집 억제를 통한 혈액흐름. 4. 기억력 개선 5. 항산화에 도움을 줄 수 있음.,(주)다정,액상,,"- 알러지 등 특이체질의 경우 과민반응이 우려될 수 있으니 성분을 확인하신 후 섭취 하십시오.

- 제품의 섭취시 섭취량 및 섭취방법을 확인하고 섭취하십시오.

- 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.

- 전자레인지에 데우지 마십시오.

- 의약품(당뇨치료제,혈액항응고제)복용 시 섭취에 주의하십시오

- 개봉후에는 변질될 수 있으므로 바로 섭취하십시오.",
1일 1회 1회 1포씩 섭취하십시오,생유산균베베, 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,종근당건강(주),분말,,"1) 섭취량 및 섭취방법을 확인하시고 섭취하여 주십시오.
2) 유통기한이 경과된 제품은 섭취하지 않도록 주의 바랍니다. 
3) 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.
4) 흡습의 우려가 있으니 개봉한 제품은 바로 섭취하십시오 
5) 특정성분에 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오 
6) 임산부, 수유부, 만성질환이 있거나 현재 질병치료 중이신 분은 전문의와 상의 후 섭취하십시오.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",닥터S유산균17, 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,코스맥스바이오(주),캡슐,,,
1일 1회 1회 1정씩 삼켜서 셥취하거나 충분히 씹어서 섭취하여 주십시오.,종근당건강 N-아세틸글루코사민,[N-아세틸글루코사민 제품] 1. 관절 및 연골 건강에 도움,종근당건강(주),알약,,[N-아세틸글루코사민 제품]게에 알레르기를 나타내는 사람은 섭취에 주의(게를 원재료로 사용한 경우에 한함)새우에 알레르기를 나타내는 사람은 섭취에 주의(새우를 원재료로 사용한 경우에 한함),
"1일 1회, 1회 2캡슐씩 물과 함께 섭취",아쿠아워너비,"[히알루론산] 1.  피부보습에 도움을 줄 수 있음
[비타민E]  1. 유해산소로부터 세포를 보호하는데 필요
[비타민A]  1.  어두운 곳에서 시각 적응을 위해 필요 2.  피부와 점막을 형성하고 기능을 유지하는데 필요
 3.  상피세포의 성장과 발달에 필요",(주)네추럴에프앤피,캡슐,, 1. 알레르기 체질이신 경우 성분을 확인 한 후 섭취여부를 결정하여야함,
"1일 1회, 1회 1정을 물과 함께 섭취",간건강 밀크씨슬,"[밀크씨슬추출물] 간 건강에 도움을 줄 수 있음.
[비타민B1] 탄수화물과 에너지 대사에 필요.
[비타민B2] 체내 에너지 성성에 필요.
[나이아신] 체내 에너지 생성에 필요.
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
[비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
[엽산] 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
[아연] 정상적인 면역기능에 필요.
[셀레늄] 유해산소로부터 세포를 보호하는데 필요.",주식회사한미양행,알약,," 1.  알레르기 반응이 나타나는 경우에는 섭취 중단  2.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의

알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.",
"1일 3회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",앨트헬스오메가-3,"[오메가-3지방산함유유지 제품] 1. 혈중 중성지질 개선 2. 혈행개선  3.  건조한 눈을 개선하여 눈건강에 도움을 줄 수 있음
[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",코스맥스바이오(주),캡슐,,"섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 
섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.
개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오.
섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.
특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
1일 3회: 1회 섭취 40g(동봉된 스푼으로 2스푼) 운동 전 후 우유 또는 주스 물 200ml:40g을 혼합하여 섭취한다.,프로틴파워,"[단백질] 1. 근육, 결합조직 등 신체조직의 구성성분 2. 효소, 호르몬, 항체의 구성에 필요 3. 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요 4. 체액, 산-염기의 균형 유지에 필요 5. 에너지, 포도당, 지질의 합성에 필요",이원바이오,분말,,[단백질]특정 단백질에 알레르기를 나타내는 경우에는 섭취 주의,
"1일 3회, 1회 0.5ml(4회 분사)를 구강에 분무하여 섭취하십시오.",프리미엄 프로폴리스 스프레이,[프로폴리스 추출물]  1. 구강에서의 항균작용에 도움을 줄 수 있음,(주)뉴트리바이오텍,액상,,"프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의

1. 특이체질, 알레르기 체질이신 분은 성분을 확인한 후 섭취하십시오.
2. 이상증상이 생길 경우 섭취를 중단하시고, 전문의와 상담하시거나 소비자 상담실로 문의하십시오.
3. 원료의 특성상 침전물이 생길 수 있으나 품질에는 이상이 없으므로 잘 흔들어서 섭취하십시오.
4. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.",
"1일 2회, 1회 1정을 충분한 물과 함께 섭취하십시오.",종근당건강 트리플파워,"[홍경천 추출물]스트레스로 인한 피로 개선에 도움을 줄 수 있음(생리활성기능2등급)

[은행잎추출물]성인의 기억력 개선에 도움을 줄 수 있음 (생리활성기능2등급)혈행 개선에 도움을 줄 수 있음 (생리활성기능2등급)

[유단백가수분해물(락티움)]스트레스로 인한 긴장을 완화하는데 도움을 줄 수 있음(생리활성기능2등급)",종근당건강(주),알약,,"[은행잎추출물] 1.  어린이, 임산부와 수유부는 섭취에 주의하시기 바랍니다. 2.  수술 전후에는 섭취에 주의하시기 바랍니다. 3.  항응고제 복용시 섭취에 주의하시기 바랍니다. 4.  질환자의 경우 섭취 전에 의사와 상담하여 주시기 바랍니다.

[유단백가수분해물(락티움)] 1.  임산부, 수유여성 및 12세 이하 어린이는 섭취에 주의하여야 합니다. 2.  우유 및 유제품에 대하여 알레르기를 나타내는 사람은 섭취에 주의하여야 합니다.

 1.  섭취 시 목에 걸리거나 불편할 수 있므으로 반드시 물과 함께 섭취하십시오.

 2.  섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오.

 3.  개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. 

 4.  섭취 전 제품에 이상이 있는 경우 섭취를 급하십시오. 

 5.  특정 원료, 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
"1일1회, 1회 1포(50mL)를 그대로 섭취하십시오.",천지인 알파26," 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음

스트레스로 인한 피로개선에 도움을 줄 수 있음.",(주)동원에프앤비,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 2회, 1회 2정을 충분한 물과 함께 섭취하십시오.1일 1회, 1회 4정을 충분한 물과 함께 섭취하십시오.",옻팔청춘,"갱년기 남성의 건강에 도움을 줄 수 있음
(생리활성기능 2등급)


 1. 지구력 증진에 도움을 줄 수 있음

 1. 탄수화물과 에너지 대사에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",코스맥스바이오(주),알약,,,
"1일 1회, 1회 1캡슐(1캡슐 당 500 mg)을 물과 함께 섭취하십시오.",수용성비타민 앤 루테인,"노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

 1. 탄수화물과 에너지 대사에 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 정상적인 엽산 대사에 필요

 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요",(주)한국씨엔에스팜,캡슐,,과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.,
"1일2회, 1회 1포(6g)를 섭취하십시오.",무죄다이어트옐로우,"-판토텐산
 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

-가르시니아캄보지아 추출물
 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌",주식회사 굿씨드,분말,,"1) 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.
2) 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
3) 제품의 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.",
"1일 1회, 1회 1정을 씹어서 섭취하십시오.",프라임 멀티비타민 츄어블 스페셜,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[나이아신] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[셀렌] 1. 유해산소로부터 세포를 보호하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)비오팜,알약,,#NAME?,
"1일 1회, 1회 1캡슐을 물과 함께 섭취",오메가3골드1200,"[오메가-3지방산함유유지 제품] 1. 혈중 중성지질 개선 2. 혈행개선

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",(주)한국씨엔에스팜,캡슐,," 1.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오. 

 2.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"1일 2회, 1회 1포를 식후에 직접 또는 물이나 음용수와 함께 섭취",에프앤디 칼디,"[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[마그네슘] 1. 에너지 이용에 필요 2. 신경과 근육 기능 유지에 필요",(주)비피도,분말,,제품의 개봉이나 섭취시 상처를 입을 수 있으니 주의,
"1일 2회, 1회 1포(30ml)를 200ml의 물에타서 섭취하십시오.",빼자까페,[가르시니아캄보지아추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,(주)빈스힐,액상,,"1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2) 알레르기 특이체질인 경우 성분을 확인 후 섭취하십시오.
3) 섭취량과 섭취방법을 확인하시고 섭취하여 주십시오.
4) 제품개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.",
"1일 2회, 1회 1캅셀씩 물과 함께 섭취한다.",프로폴리스골드," 1. 항산화 작용에 도움을 줄 수 있음
 1. 유해산소로부터 세포를 보호하는데 필요
 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요",(주)비오팜,캡슐,,"[프로폴리스추출물 제품] 프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의.
제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있어 주의가 필요함.
알레르기 체질이신 분은 성분을 확인 후 섭취하시길 바랍니다.",
"1일 1회, 1회 1포씩 섭취",체감다이어트,"[난소화성말토덱스트린] 배변활동 원활에 도움을 줄 수 있음
[가르시니아캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌",(주)네추럴에프앤피,액상,, 1.  알레르기 체질이신 경우 성분을 확인 한 후 섭취여부를 결정하여야 함.,
"1일 1회, 1회 1정씩 물과 함께 섭취",안심비타민C,[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요,네이처퓨어코리아(주),알약,," 1.  과량섭취 시 부작용이 있을 수 있음.
 2.  특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
 3.  유통기한이 경과된 제품은 섭취하지 마십시오.",
"1일 1회, 1회 3정씩 씹거나 물과 함께 섭취",칼슘종합비타민플러스," 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

 1. 탄수화물과 에너지 대사에 필요

 1. 체내 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

 1. 칼슘과 인이 흡수되고 이용되는데 필요  2. 뼈의 형성과 유지에 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 청년기 이전에 적절한 운동과 건강한 식습관을 유지하면서 충분한 칼슘을 섭취하면 향후 골다공증발생의 위험을 감소시킬 수 있음",주식회사한미양행,알약,,"1. 알레르기 체질이신 경우 성분을 확인한 후 섭취여부를 결정.
2. 섭취량을 준수하고, 제품 개봉 후 보관시 흡습방지를 위해 뚜껑을 꼭 닫아야 함.",
"1일 3회, 1회 30ml씩 원액을 공복에 섭취하시거나 물 또는 즐겨 드시는 음료에 타서 함께 드십시오.",허벌알로에겔,[알로에겔 제품] 1. 피부건강에 도움을 줄 수 있음  2. 장 건강에 도움을 줄 수 있음  3. 면역력 증진에 도움을 줄 수 있음,코스맥스바이오(주),액상,,특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.,
"1일 1회, 1회 1캅셀을 물과 함께 섭취하십시오.",전립소,"[쏘팔메토열매추출물]전립선 건강의 유지에 도움을 줄 수 있음

[토마토추출물(제2008-50호)]항산화에 도움을 줄 수 있음

[아연] 1. 정상적인 면역기능에 필요 2.  정상적인 세포분열에 필요",주식회사 노바렉스,캡슐,,"[쏘팔메토열매추출물] 1. 매스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음

[토마토추출물(제2008-50호)] 1.  알레르기 체질이신 분은 개인에 따라 과민반응을 나타낼 수 있습니다. 2.  라이코펜이 함유된 식품을 과량 섭취 시 피부색이 오렌지색으로 변할 수 있습니다.",
1일 1회 1회 2캡슐을 충분한 물과 함께 섭취하십시오.,오메가-3맥스,[오메가-3지방산함유유지 제품] 1. 혈중 중성지질 개선 2. 혈행개선,주식회사 노바렉스,캡슐,,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취.",복합오메가3프리미엄,"[오메가-3지방산함유유지 제품] 1. 혈중 중성지질 개선에 도움을 줄 수 있음  2. 혈행개선에 도움을 줄 수 있음

[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌",극동에치팜(주),캡슐,,,
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",아이세이프 프리미엄,"[밀크씨슬(카르두스 마리아누스) 추출물 제품] 1.  간 건강에 도움을 줄 수 있음

[루테인 제품]노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",안국건강(주),캡슐,,"[밀크씨슬(카르두스 마리아누스) 추출물 제품] 1.  알레르기 반응이 나타나는 경우에는 섭취 중단  2.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의

[루테인 제품]과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음.

 1.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.

 2.  특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다. 

 3.  과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 

 4.  알레르기 반응이 나타나는 경우에는 섭취 중단

 5.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의",
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",프로폴리스 플러스,"[프로폴리스추출물] 1. 항산화에 도움을 줄 수 있음 

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)한국씨엔에스팜,캡슐,,프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,
"1일 2회, 1회 1포를 그대로 혹은 물과 함께 섭취하십시오.",더블임팩슬림라인망고맛,"[가르시니아 캄보지아 추출물]
 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
[프로바이오틱스]
 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음",(주)뉴트리바이오텍,분말,,"1. 임산부 , 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담하여 주십시오.
2. 특이체질, 알레르기체질인 경우에는 의사와 상담 후 섭취여부를 결정하십시요.
3. 섭취 전에 유통기한을 확인 후 섭취하십시오. 또한 유통기한이 경과한 제품은 섭취하지 마십시오.
4. 이상증상이 생길 경우 섭취를 중단하고, 전문의와 상담하시거나 고객상담실로 문의하시기 바랍니다.",
"1일 2회, 1회 1정(1500mg)을 씹거나 녹여서 섭취하십시오.",키즈츄어블멀티비타민&미네랄,"[베타카로틴] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요
[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요
[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌
[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌
[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요
[비타민B12] 1. 정상적인 엽산 대사에 필요
[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요
[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필",에스케이내추럴팜(주),알약,," 1.  섭취량 및 섭취방법을 준수하십시오
 2.  과량 섭취시 부작용이 있을 수 있으며, 특정원료에 알레르기가 있거나, 질병치료나 약물투여 중인 분들은 섭취전 전문가와 상의하십시오.
 3.  동봉된  흡습제(실리카겔)은 섭취하지 마십시오.",
"1일 2회, 1회 5정을 식사 후에 먹는 물로 섭취한다.",일양클로렐라,1. 피부건강에 도움  2. 항산화작용,일양약품(주),알약,,특정원료에 알레르기 및 과민증이 있는 체질이신 경우 성분을 확인한 후 섭취여부를 결정하시고 섭취 외 다른 용도로 사용하지 마십시오. 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.병을 개봉상태로 공기중에 방치하거나 다른 용기에 보관하지 마십시오.,
